cpu,memory,disk,network_in,network_out,label
24.73,49.44,42.66,450.8,553.56,0
49.97,33.18,40.36,450.63,85.91,0
23.4,58.54,23.35,528.5,361.41,0
53.49,45.95,16.44,806.4,162.48,0
67.27,46.85,33.64,257.14,174.55,0
38.83,30.45,40.66,65.86,134.59,0
38.07,35.29,56.52,541.42,30.21,0
28.67,47.43,30.59,941.87,294.5,0
75.0,31.55,49.08,351.01,73.32,0
24.66,37.95,42.45,221.36,666.38,0
36.16,57.48,29.15,4000.0,73.37,0
40.21,41.92,63.02,479.46,900.25,0
20.92,52.85,50.39,298.01,290.03,0
42.77,33.42,31.28,194.33,137.55,0
96.2,58.75,39.05,606.88,265.45,1
38.89,45.65,22.59,277.1,276.49,0
40.93,26.48,44.64,725.46,157.51,0
25.78,47.53,53.88,214.55,95.83,0
56.23,57.38,54.23,212.93,1955.28,0
91.01,44.48,41.7,734.72,16.62,1
50.82,40.34,40.92,12.27,368.07,0
37.79,60.06,24.3,1160.54,202.24,0
31.97,49.02,41.65,634.16,550.26,0
41.84,35.28,31.96,414.52,64.86,0
62.96,60.82,43.49,749.32,28.9,0
90.38,48.82,47.63,679.23,560.65,1
26.47,43.47,30.81,173.02,605.7,0
29.28,35.98,39.28,503.93,86.68,0
62.93,34.05,44.38,774.5,509.82,0
32.96,36.19,31.52,391.11,105.23,0
36.32,35.81,29.69,110.56,1094.52,0
29.08,65.89,38.8,579.5,209.28,0
33.74,67.17,49.49,2929.13,90.61,0
50.96,47.32,42.11,965.83,381.99,0
37.23,36.22,43.65,1806.67,99.7,0
30.26,44.86,33.93,754.39,638.03,0
31.78,69.03,51.89,431.48,104.83,0
57.81,46.77,40.55,1421.09,257.67,0
87.9,92.13,92.89,7925.71,4272.46,1
23.47,62.75,47.37,2612.63,221.76,0
47.02,39.48,34.28,31.25,220.37,0
58.1,45.45,33.23,685.97,1382.03,0
33.55,49.04,34.03,323.06,97.91,0
31.57,38.86,40.42,470.75,225.58,0
31.52,40.86,37.1,491.07,376.62,0
41.89,59.44,50.97,47.23,234.28,0
38.94,40.35,41.43,261.62,489.43,0
28.41,63.72,43.57,788.52,190.0,0
40.29,42.79,43.13,213.61,177.59,0
